symbol,direction,entry_date,entry_price,sl,target,exit_price,outcome,hold_bars,pnl_pct,R,grade,score,patterns,rsi,rs_vs_nifty,near_52wh,near_52wl
AXISBANK,long,2024-06-04,1224.61,1175.65,1371.49,1175.06,SL,1,-4.15,-1.01,A,80.0,breakout_5d_high,72.0,1.036,False,False
AXISBANK,long,2024-06-20,1230.72,1181.65,1377.93,1296.1,TIME_EXIT,15,5.21,1.33,A,80.0,breakout_5d_high,60.0,1.033,False,False
AXISBANK,long,2025-04-16,1123.26,1078.75,1256.79,1150.52,TIME_EXIT,15,2.33,0.61,A,80.0,breakout_5d_high,59.0,1.06,False,False
AXISBANK,long,2025-04-17,1156.18,1109.73,1295.53,1202.4,TIME_EXIT,15,3.9,1.0,A,80.0,breakout_5d_high,62.0,1.099,False,False
AXISBANK,long,2025-04-21,1202.6,1154.97,1345.49,1154.39,SL,4,-4.11,-1.01,A,80.0,breakout_5d_high,63.0,1.087,False,False
AXISBANK,long,2025-04-22,1231.02,1182.1,1377.78,1181.5,SL,3,-4.12,-1.01,S,95.0,breakout_5d_high,73.0,1.119,True,False
AXISBANK,long,2025-10-17,1196.9,1163.7,1296.5,1221.89,TIME_EXIT,15,1.99,0.75,S,90.0,breakout_5d_high,56.0,1.052,True,False
AXISBANK,long,2025-10-24,1254.83,1204.48,1405.88,1248.98,TIME_EXIT,15,-0.57,-0.12,S,90.0,breakout_5d_high,72.0,1.045,True,False
AXISBANK,long,2025-11-19,1268.63,1218.01,1420.49,1277.96,TIME_EXIT,15,0.64,0.18,S,90.0,breakout_5d_high,61.0,1.046,True,False
AXISBANK,long,2026-01-30,1352.68,1298.13,1516.33,1367.62,TIME_EXIT,15,1.0,0.27,S,90.0,bullish_engulfing,65.0,1.104,True,False
AXISBANK,long,2026-02-02,1339.67,1284.85,1504.13,1386.01,TIME_EXIT,15,3.36,0.85,S,95.0,breakout_5d_high,70.0,1.11,True,False
AXISBANK,long,2026-04-28,1312.66,1259.69,1471.57,1259.06,SL,2,-4.18,-1.01,A,85.0,bullish_pin_bar,66.0,1.056,True,False
MARUTI,long,2024-03-21,12005.0,11527.35,13437.95,12496.45,TIME_EXIT,15,3.99,1.03,A,80.0,breakout_5d_high,73.0,1.06,False,False
MARUTI,long,2024-08-01,13399.7,12875.07,14973.59,12868.63,SL,1,-4.06,-1.01,S,90.0,breakout_5d_high,63.0,1.053,True,False
MARUTI,long,2025-01-15,11896.5,11426.85,13305.45,13298.79,TARGET,14,11.69,2.99,A,85.0,bullish_marubozu,71.0,1.108,False,False
MARUTI,long,2025-01-16,11987.44,11509.54,13421.14,13414.43,TARGET,13,11.8,2.99,A,85.0,breakout_5d_high,72.0,1.128,False,False
MARUTI,long,2025-02-01,12326.16,11833.73,13803.45,12317.29,TIME_EXIT,15,-0.17,-0.02,B,75.0,bullish_engulfing,73.0,1.053,False,False
MARUTI,long,2025-08-13,12846.42,12332.82,14387.22,14380.03,TARGET,5,11.84,2.99,S,90.0,breakout_5d_high,57.0,1.054,True,False
MARUTI,long,2025-09-24,16196.09,15552.21,18127.73,16289.85,TIME_EXIT,15,0.48,0.15,S,95.0,breakout_5d_high,74.0,1.105,True,False
WIPRO,short,2023-10-20,197.43,205.34,173.7,190.92,TIME_EXIT,15,3.2,0.82,A,80.0,breakout_5d_low,40.0,0.932,False,False
WIPRO,short,2023-11-13,191.2,195.05,179.65,195.15,SL,1,-2.16,-1.03,A,80.0,breakout_5d_low,28.0,0.927,False,False
WIPRO,short,2024-04-18,226.14,235.1,199.26,235.21,SL,6,-4.11,-1.01,A,85.0,breakout_5d_low,26.0,0.866,False,False
WIPRO,short,2024-04-19,219.89,228.77,193.25,228.88,SL,1,-4.19,-1.01,A,85.0,breakout_5d_low,27.0,0.861,False,False
WIPRO,short,2024-04-29,233.71,243.0,205.84,230.77,TIME_EXIT,15,1.16,0.32,B,75.0,bearish_pin_bar,34.0,0.95,False,False
